what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1318572287406
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1318572287408
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1318572287409
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1318572287411
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1318572287418
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1318572287420
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1318572287420
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1318572287528
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1318572287533
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1318572287535
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1318572287537
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1318572287545
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1318572287547
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1318572287551
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1318572287552
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1318572287554
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1318572287554
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1318572287554
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1318572287554
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1318572287554
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1318572287558
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1318572287560
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318572287562
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1318572287562
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1318572287564
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1318572287567
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1318572287570
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1318572287571
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1318572287679
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1318572287680
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1318572287690
os,sysinfo,,,"win32",1318572287698
arch,sysinfo,,,"x86",1318572287698
ws,sysinfo,,,"win32",1318572287698
locale,sysinfo,,,"ko_KR",1318572287698
processors,sysinfo,,,"2",1318572287699
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318572287699
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1318572287699
java.specification.name,sysinfo,,,"Java Platform API Specification",1318572287699
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318572287699
java.specification.version,sysinfo,,,"1.6",1318572287699
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318572287699
java.version,sysinfo,,,"1.6.0_25",1318572287699
java.vm.info,sysinfo,,,"mixed mode",1318572287699
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318572287699
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318572287699
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318572287699
java.vm.specification.version,sysinfo,,,"1.0",1318572287699
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318572287699
