what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318573172701
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318573172729
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573172801
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318573172818
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318573172818
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318573173827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573175798
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573191676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573196779
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573695228
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318573697444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573701487
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573716585
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1318573716602
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1318573716602
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573717627
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573725187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573728167
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1318573767197
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573767663
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1318573767681
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573770826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573785033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573789459
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573792577
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1318573792594
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318573793304
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318573801746
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573810320
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573860870
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573866354
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573881181
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573883180
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573964734
started,bundle,org.eclipse.hyades.execution,4.4.302.v201002100300,"org.eclipse.hyades.execution",1318573967316
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1318573967361
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1318573967383
started,bundle,org.eclipse.tptp.platform.models.hierarchy,4.6.2.v200910191900,"org.eclipse.tptp.platform.models.hierarchy",1318573967385
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1318573967465
started,bundle,org.eclipse.tptp.platform.common.ui,4.4.202.v201002100300,"org.eclipse.tptp.platform.common.ui",1318573967572
started,bundle,org.eclipse.tptp.platform.common,4.3.302.v201002100300,"org.eclipse.tptp.platform.common",1318573967573
started,bundle,org.eclipse.hyades.trace.ui,4.5.2.v201002100300,"org.eclipse.hyades.trace.ui",1318573973035
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573983813
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573994786
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318573997486
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1318573998684
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318574017293
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1318574017336
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318574020500
started,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1318574028115
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318574043187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1318574043222
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318574044924
